gene_idx,correlation,pred_mean,target_mean,pred_std,target_std
0,0.5358876249803963,5.049091815948486,8.283505154639176,4.014400482177734,7.657037851313884
1,0.3755497362458505,0.05154639109969139,1.2417771232204222,0.22110940515995026,10.157484158078084
2,0.513207505559975,11.11119270324707,14.412125675012273,8.404983520507812,11.348660990694105
3,0.5266481939004992,8.982817649841309,11.736622484045164,5.850049018859863,8.281978174056453
4,0.392903585000779,2.2282769680023193,3.901570937653412,1.3444281816482544,3.2827605644360585
5,0.5504339326379408,10.966862678527832,19.432498772704957,8.639886856079102,17.01218149979759
6,0.4103507421878053,3.5343642234802246,7.080265095729013,2.409872055053711,5.129945039703845
7,0.0,0.0,0.025036818851251842,0.0,0.3201030165539904
8,0.0,0.0,0.2103583701521846,0.0,0.6540390119522821
9,0.0,0.0,0.8208149239077074,0.0,1.05856894517871
10,0.41815893781681784,2.8276877403259277,5.326705940108002,1.7015281915664673,3.8090838636918027
11,0.19364420540810298,0.06406480073928833,0.8917525773195877,0.24486835300922394,1.0728568487995895
12,0.32397973828165133,0.6300932765007019,2.0505645557191947,0.48328736424446106,1.8266547498743566
13,0.22597866702941133,0.16912125051021576,1.090328915071183,0.3748589754104614,1.2337066689973646
14,0.19864425043184286,0.13966616988182068,1.302405498281787,0.34664037823677063,1.3507790099623058
15,0.0,0.0,0.4744722631320569,0.0,0.818275110789812
16,-0.0016726477595581997,0.0002454589994158596,0.3492881688757977,0.01566520892083645,3.272066919891739
17,0.33681538733813465,2.9403533935546875,7.500490918016691,1.0468300580978394,5.9387005081597675
18,0.2990457575753883,0.6654393672943115,2.0746195385370645,0.48416098952293396,1.876220967888592
19,0.3627044022474329,0.6332842707633972,2.6006381934216987,0.49149036407470703,2.2682867492456533
20,0.3223553521346562,0.6553755402565002,2.179921453117329,0.5153860449790955,1.9215797465504063
21,0.24504633541336754,0.5274913907051086,1.131566028473245,0.5227802991867065,1.278526302552164
22,0.3827162608441021,1.3917526006698608,2.986254295532646,0.8735409379005432,2.3626340858043324
23,0.25013375002914257,1.1524300575256348,5.201030927835052,0.6212449073791504,5.339259923593298
24,0.4195281992060482,1.9290623664855957,4.619047619047619,1.1269992589950562,3.3682059711520824
25,0.0,0.0,0.46023564064801176,0.0,0.9070793103439437
26,0.3725143760415192,1.006136417388916,2.677466863033873,0.6596674919128418,2.207575626516789
27,0.4542504340464078,2.6111929416656494,9.23514972999509,1.9878207445144653,10.523703597014064
28,0.3774927249868425,1.0503190755844116,2.2358861070201277,0.6876932978630066,2.00418765388295
29,0.3617719605751044,0.5625920295715332,2.064310260186549,0.5121352076530457,1.8489306646832033
30,0.31049726837919717,0.7135493159294128,1.6168384879725086,0.555843710899353,1.7107248461386604
31,0.42432203150756964,2.1519391536712646,3.397643593519882,1.393842101097107,3.4134871173146526
32,0.4253083890759377,2.9337260723114014,7.587628865979381,1.3955278396606445,5.786777890515532
33,0.37012968096603854,2.3362789154052734,6.140893470790378,1.2599430084228516,5.569816774126486
34,0.3116128275464753,0.25773194432258606,2.752577319587629,0.4435158371925354,2.2658701171648516
35,0.24539809084502812,0.13819342851638794,1.4565537555228276,0.34510287642478943,1.44908770707645
36,0.4117454015189779,1.9297987222671509,2.852233676975945,1.0717878341674805,2.3287199996784045
37,0.36706476269409133,1.777123212814331,2.3738340697103584,0.9402404427528381,2.0656654291420136
38,0.3958187060955864,1.3507609367370605,2.305351006381934,0.8301750421524048,1.9971840355082384
39,0.4246659532410502,2.942317247390747,4.042709867452135,1.3743783235549927,3.293399793536253
40,0.3377890538371062,0.6701030731201172,1.657830142366225,0.5305165648460388,1.6082304892164523
41,0.2794093305612286,0.33848798274993896,1.2476681394207167,0.4731954038143158,1.3876783363854763
42,0.4772857981501419,2.1990673542022705,4.447717231222386,1.147830605506897,3.4382612744841925
43,0.351293459428904,0.9990181922912598,1.898379970544919,0.6508926749229431,1.783710266310034
44,0.0,0.0,0.6163475699558174,0.0,0.9613736965144019
45,0.4755549444780315,3.3458516597747803,7.630093274423172,1.6749690771102905,6.453784772532376
46,0.3943334749441615,3.096956253051758,7.677466863033874,1.1289798021316528,5.797689505134321
47,0.0,0.0,0.5039273441335297,0.0,1.0081208261032204
48,0.19504195262050258,0.07731958478689194,0.9867452135493373,0.2670978903770447,1.1928938096175923
49,0.43486524745811206,4.954835414886475,12.382425135002455,1.9554243087768555,11.387366304371813
50,0.0,0.0,0.2763868433971527,0.0,0.9157955535540551
51,0.3771257496697328,3.8537063598632812,5.585419734904271,1.7125836610794067,4.171777148693779
52,0.1029533598534304,0.6664212346076965,1.7378497790868925,0.5691432356834412,1.9551942051843472
53,0.3046336701799563,0.8382425308227539,2.1318114874815906,0.48044782876968384,2.0072412621170406
54,0.4060682646810574,6.158566474914551,29.36131566028473,2.4189140796661377,16.91211612740229
55,0.12839479005970525,0.32523319125175476,2.552773686794305,0.46846187114715576,2.136663242721707
56,0.30759780372060275,0.8208149075508118,3.258222876779578,0.4282589554786682,2.661769075833827
57,0.007208761897364305,0.01129111461341381,1.4050073637702503,0.10795620828866959,1.693626176106608
58,0.35229601532162264,0.7317132949829102,3.5284732449680902,0.5042194724082947,2.5724264395390195
59,0.15312214613933559,0.17427588999271393,1.0326460481099657,0.3793465793132782,1.2162637521833632
60,0.3582360149659509,1.061855673789978,2.8873343151693667,0.44047003984451294,2.417986441583081
61,0.0,0.0,0.05817378497790869,0.0,0.2580147827544806
62,0.0,0.0,0.15390279823269515,0.0,0.4945711524319772
63,0.47684104942723915,6.449680805206299,10.921944035346097,3.2541725635528564,7.06959544287233
64,0.33539099693636476,4.583456039428711,7.979626902307315,2.830254554748535,6.581338612059185
65,0.5652956422787028,12.47471809387207,13.193421698576337,8.154314994812012,10.731854497600295
66,0.24720034531783563,0.5358369946479797,3.6892488954344627,0.5724976062774658,4.014107091762556
67,0.524833710431168,10.171575546264648,16.139420716740304,5.939993381500244,9.863884739212846
68,0.5485672029418339,11.244232177734375,19.566764850270005,6.437112808227539,12.97812006351823
69,0.0,0.0,0.12272950417280314,0.0,1.0837120573511703
70,0.5164124156758964,5.302160263061523,6.762395679921453,3.3483352661132812,4.962846720826095
71,0.4049811206429216,1.1622483730316162,2.065537555228277,1.1051441431045532,1.904539539449876
72,0.040466889507153526,0.009818360209465027,0.707658321060383,0.09859998524188995,1.088479081536838
73,0.36383958441841974,1.199067234992981,2.1691212567501226,0.7763623595237732,1.9628655836517008
74,0.2836625009468235,1.185076117515564,1.7540500736377025,0.6554878950119019,1.7127806682474223
75,0.0,0.0,0.43961708394698085,0.0,0.9355318716272457
76,0.3975359025325854,1.2903779745101929,1.8912616593028964,0.8497137427330017,1.9137533459638474
77,0.2560454378454844,1.4506627321243286,2.4904270986745214,0.7166892290115356,2.745555906434607
78,0.3332752875044707,1.6941580772399902,2.045900834560628,0.9981476068496704,2.027814476787101
79,0.19555139943911168,0.21109475195407867,1.8895434462444771,0.4110819101333618,2.5068533726195366
80,0.26860482373663647,0.38831615447998047,1.3119783996072656,0.4958551824092865,1.3775031176020007
81,0.255459154659514,0.8068237900733948,1.6148748159057438,0.4327562153339386,1.587316148183707
82,0.0,0.0,0.05130093274423171,0.0,0.5196856478406349
83,0.14691586786046057,0.12469317764043808,0.47471772214040253,0.33332937955856323,0.8061947085203794
84,0.29257388322395433,1.4317623376846313,1.5957290132547866,0.8725241422653198,1.5606826739115405
85,0.4191186842768629,2.039764404296875,5.376779577810506,0.9529374837875366,4.281131994078993
86,0.005446138268576988,0.03951890021562576,0.5439371624938635,0.6430469751358032,3.744563568702945
87,0.0015737454394152814,0.19072164595127106,1.1237113402061856,2.672741174697876,9.971703331207273
88,0.04069387407197902,0.04074619710445404,0.553019145802651,0.6682422757148743,3.1700708208889905
89,0.28581828376048646,2.049337148666382,2.5834560628375063,0.9344078898429871,2.664155279377511
90,0.0,0.0,0.42513500245459007,0.0,0.7297699006812131
91,0.01615051541093772,0.007854687981307507,1.2795778105056455,0.12311280518770218,13.092253767299662
92,0.03763399452833369,0.8352969884872437,3.3711340206185567,0.7656859159469604,31.18540391150037
93,0.0,0.0,0.045655375552282766,0.0,0.5915266728143199
94,0.0,0.0,0.14997545409916543,0.0,0.7447022839956042
95,-0.003128103378763068,0.0002454589994158596,0.14212076583210603,0.01566520892083645,0.7119003995204051
96,0.438938103961993,5.1732940673828125,9.445753559155621,1.8629828691482544,6.441430385712837
97,0.0,0.0,0.0012272950417280314,0.0,0.03501126659532016
98,0.3149273375617058,6.2533135414123535,26.614383897889052,1.9529681205749512,18.092038169890955
99,0.2456342952688402,0.17378497123718262,2.311487481590574,0.3789244592189789,2.6146617673325747
100,0.3934326175395678,7.585174083709717,9.776141384388808,2.699522018432617,6.717415596650644
101,0.0,0.0,0.6190476190476191,0.0,0.8951900466534298
102,0.22111614748105216,0.15365733206272125,1.3657339224349534,0.36061999201774597,1.4038533525748236
103,0.0,0.0,0.3132056946489936,0.0,0.6144930845934935
104,-0.002935229174200461,0.0009818359976634383,2.6381934216985763,0.03131887689232826,28.177172373762982
105,0.33640214408143826,3.9172801971435547,12.65979381443299,1.4087464809417725,10.372119957703283
106,0.4892160702393081,4.142611503601074,15.635247913598429,1.779039978981018,11.071840853801216
107,0.24734090246144944,2.713794708251953,24.01350024545901,1.4907902479171753,21.232404176401886
108,0.2872697245687831,0.9197348952293396,6.774423171330388,0.6169654726982117,5.470806506604676
109,0.3947217145904615,0.545655369758606,2.338733431516937,0.5042791962623596,2.064292339558094
110,0.2759390151499169,2.38586163520813,5.168384879725086,1.0476410388946533,3.7158686621979933
111,0.0,0.0,1.2925871379479628,0.0,1.5619459160185467
112,0.0,0.0,0.4069710358370152,0.0,1.364322200547863
113,0.02762386259635456,0.01644575409591198,1.2169857633775159,0.12718212604522705,1.289870717033437
114,0.1933387235204508,0.0758468359708786,1.055473735886107,0.26475289463996887,1.2029524038517403
115,0.23800021057333565,0.8318606019020081,1.4965635738831615,0.37660619616508484,1.5120569183105157
116,0.3462994980883456,1.4644083976745605,2.3112420225822286,0.8889408707618713,2.024599884431172
117,0.04996034623541099,0.12911143898963928,0.7675503190967109,0.3353232443332672,1.2639860810173282
118,0.0,0.0,0.14752086401570938,0.0,1.3637011746160266
119,0.0,0.0,0.0900834560628375,0.0,0.8083297584743394
120,0.36080853866309814,1.04000985622406,1.3559155621011292,0.747188925743103,1.4795216785794951
121,0.32284508011814345,1.7196857929229736,1.6276386843397153,1.193160891532898,1.5858765367531267
122,0.0,0.0,0.0066273932253313695,0.0,0.09245075960279099
123,0.1745859704012207,0.17353951930999756,1.4543446244477172,0.4829716086387634,1.923551683749565
124,0.45953728598879934,1.1801669597625732,2.606038291605302,0.7830051779747009,2.352924180424925
125,0.3759182370349724,0.6114383935928345,1.8991163475699557,0.5819884538650513,1.7640339043851
126,0.39132416796760344,0.8232694864273071,2.566764850270005,0.636547327041626,2.1856821971286235
127,0.303823781846399,1.1038291454315186,3.336033382425135,0.715403139591217,2.6164095614955842
128,0.26928240061866754,0.12469317764043808,1.10726558664703,0.3303707242012024,1.2650784172243494
129,0.0,0.0,0.17329405989199803,0.0,0.4463495072260581
130,0.4132308136438799,1.6838487386703491,4.2702503681885124,0.9602810740470886,3.0935128707265975
131,0.33825521255282126,1.854442834854126,3.286696121747668,0.8246753215789795,2.76653057832278
132,0.0,0.0,0.08100147275405008,0.0,0.5501973390767524
133,0.12039528074161632,0.02258222922682762,0.729995090819833,0.14856740832328796,1.1368114854437705
134,0.0,0.0,0.3807069219440353,0.0,0.9324936037723202
135,0.2214313982749439,0.7398134469985962,1.8568973981345116,0.4398537874221802,1.7523090302328375
136,0.06205303756490101,0.005154639016836882,1.0525282277859598,0.07161054760217667,1.3200205811361152
137,0.23021166192595552,0.8789886832237244,2.0981836033382426,0.3291371166706085,1.8769672421610037
138,0.0,0.0,0.039273441335297005,0.0,0.41145724761416586
139,0.32170126521914383,0.284732460975647,1.2866961217476682,0.45183050632476807,1.4530062052005093
140,0.10518385276935427,0.012518409639596939,0.9378988708885616,0.11118317395448685,1.1159230901965755
141,0.22213966904687146,0.41114383935928345,4.71232204221895,0.4920412600040436,6.73228947018971
142,0.27189483190116365,0.9678448438644409,4.550319096710849,0.4427974820137024,3.2500211315039107
143,0.3450186942492916,1.8325968980789185,4.401816396661758,1.074293613433838,3.525112467476958
144,-0.003420185709737169,0.0009818359976634383,0.49312714776632305,0.049534089863300323,2.857880077452175
145,0.16610237795427737,0.37285223603248596,0.8942071674030437,0.48356327414512634,1.0717283662402999
146,-0.0073331498176055394,0.0002454589994158596,0.4428080510554737,0.01566520892083645,0.9461668885693573
147,0.22717031817584657,0.9027982354164124,1.3090328915071183,0.6549363136291504,1.3831448721152988
148,0.4914940868493889,11.362051963806152,21.19563082965145,6.32185697555542,13.093477244403875
149,0.04937275687722314,0.002945508109405637,0.7272950417280314,0.05419255420565605,1.1258580746965017
150,0.12198357059911674,0.43618065118789673,0.5498281786941581,0.7970101237297058,0.8658673591741021
151,0.16936580699968867,0.1362297534942627,0.17574864997545409,0.37971144914627075,0.6811444581412577
152,0.24422621322294086,0.7025036811828613,0.8426607756504664,0.9685068130493164,1.0598377944353032
153,0.218150785076712,0.8892979621887207,0.9005891016200295,1.5416866540908813,1.0737116911985378
154,0.25447208946991867,0.6030927896499634,1.5316642120765833,1.0023539066314697,1.6539338355008524
155,0.4517287226361177,1.8190966844558716,3.2280314187530683,1.8297488689422607,2.6335305699072182
156,0.5526930895210209,6.554491996765137,7.282523318605793,4.521872043609619,5.087207469532468
157,0.15920737201194424,0.10088365525007248,0.5265095729013255,0.3011745810508728,0.811919815303058
158,0.3108041380702656,1.1890034675598145,1.7552773686794305,0.6699356436729431,1.6980606004473757
159,0.3004010902020185,2.0208640098571777,2.008836524300442,0.9227962493896484,1.907513107570576
160,0.0,0.0,0.06701030927835051,0.0,0.6181484907324046
161,0.0,0.0,0.4477172312223859,0.0,0.7380805038773354
162,0.030432797494856008,0.0012272950261831284,0.39837997054491897,0.03501126542687416,0.6929813834384317
163,0.0,0.0,0.6283750613647521,0.0,0.9131881394504362
164,0.2669163584418639,0.42611682415008545,1.6966126656848306,0.8177374005317688,1.6134113043523317
165,0.0,0.0,0.09621993127147767,0.0,0.7415506360575812
166,-0.0013786648856396132,0.0002454589994158596,0.06161021109474718,0.01566520892083645,0.7002236540481663
167,0.07267903760478767,0.004172803368419409,0.11904761904761904,0.0644623190164566,0.5750631018633258
168,0.10891516036597254,0.8318606019020081,0.32572410407461955,0.3900532126426697,0.7518205875406841
169,0.189703324590967,0.9236622452735901,1.9786450662739323,0.4201768636703491,1.8518484523358578
170,0.2100714288512224,0.8934707641601562,2.1249386352479136,0.3571852743625641,2.1892206037547863
171,0.0,0.0,0.14923907707412862,0.0,0.6320017992156461
172,0.12652610067611036,2.6644575595855713,30.67501227295042,0.8089936375617981,25.35849838643201
173,0.0,0.0,0.012027491408934709,0.0,0.12573851833417002
174,0.22488607963646035,0.8642611503601074,2.929553264604811,0.34251102805137634,2.915971869847036
175,-6.82169514394423e-06,0.0007363770273514092,0.6669121256750122,0.02712627500295639,0.9767799676433004
176,0.0,0.0,0.28890525282277857,0.0,0.7853841771397111
177,0.18110765323589942,0.8797250986099243,1.104810996563574,0.32753872871398926,1.2635369803273373
178,0.05755424515166843,0.07290132343769073,0.8004418262150221,0.2599744498729706,1.0379115965516805
179,0.0,0.0,0.0662739322533137,0.0,0.7530181520602638
180,0.1351644334454817,1.8438880443572998,8.41114383897889,4.012153625488281,6.206168524458466
181,0.20239856303400072,2.641629934310913,10.879234167893962,4.439435958862305,7.172716388197631
182,0.4393185064539307,2.1683847904205322,4.949680903289151,1.1888954639434814,3.5253721148486923
183,0.3838044751369824,6.280068874359131,14.56872852233677,4.595878601074219,11.931621332922026
184,0.4381649776178956,9.232695579528809,18.765832106038292,4.080901145935059,11.767179795140533
185,0.0,0.0,0.12641138929798723,0.0,0.39321008564881577
186,0.05471189601788792,0.02773686870932579,0.836033382425135,0.16421794891357422,1.1072207218603851
187,0.0,0.0,0.028227785959744723,0.0,0.28363731041985024
188,0.0,0.0,0.14138438880706922,0.0,0.4471484385294382
189,0.2905157647420843,1.352233648300171,1.1507118311242022,0.8236121535301208,1.2533179269997163
190,0.3949050422054364,5.512027263641357,6.536573392243495,2.497122049331665,4.4893112177435865
191,0.34882977414075056,0.892488956451416,3.622238586156112,0.4258780777454376,2.780005455899183
192,0.31651922155811296,0.3478154242038727,2.650220913107511,0.4767921566963196,2.269981087746786
193,0.12344127916186473,0.045655377209186554,1.3544428080510555,0.2087365984916687,1.4105800330868565
194,0.34509798850348844,2.7498772144317627,3.8431516936671577,1.4535961151123047,2.89832505979691
195,0.2588468067189566,0.7346588373184204,1.298723613156603,0.5013889074325562,1.38239273072127
196,0.3882426825916561,2.0859105587005615,2.3600883652430045,1.1297653913497925,2.1304274803291725
197,0.0,0.0,0.08026509572901326,0.0,0.5554110388847392
198,0.23764153564876794,2.800196409225464,4.314923907707413,1.3226770162582397,3.8907816429895536
199,0.20864492402332327,0.41335296630859375,0.8220422189494354,0.492435097694397,1.043245169288869
